y,x,shift,latitude,offense,address,method,longitude,severity
136902,401521,EVENING,38.89997675272580,THEFT/OTHER,1500 - 5929 BLOCK OF BENNING ROAD NE,OTHERS,-76.98246012102660,1.2
128889,400251,EVENING,38.82779083803020,BURGLARY,4200 - 4399 BLOCK OF 7TH STREET SE,OTHERS,-76.99709904966720,1.5
138058,398010,DAY,38.910384968389,BURGLARY,1500 - 1599 BLOCK OF 8TH STREET NW,OTHERS,-77.02294237926550,1.5
136956,396167,EVENING,38.90045526588440,THEFT/OTHER,1900 - 1999 BLOCK OF PENNSYLVANIA AVENUE NW,OTHERS,-77.04418023822790,1.2
143559,392607,EVENING,38.95991229992680,THEFT/OTHER,5300 - 5399 BLOCK OF WISCONSIN AVENUE NW,OTHERS,-77.08528827644360,1.2
139306,396326,EVENING,38.92162337838890,THEFT/OTHER,2400 - 2499 BLOCK OF 18TH STREET NW,OTHERS,-77.04236546430810,1.2
144596,397769,EVENING,38.96927969531280,THEFT/OTHER,6500  - 6599 BLOCK OF PINEY BRANCH ROAD NW,OTHERS,-77.02573724707290,1.2
134605.73007435,400331.07001426,EVENING,38.87928486946870,THEFT F/AUTO,7TH STREET SE AND VIRGINIA AVENUE SE,OTHERS,-76.99618446903580,1
138140.98,397115.87,EVENING,38.91112702505520,THEFT F/AUTO,1400 - 1499 BLOCK OF Q STREET NW,OTHERS,-77.033253994623,1
142322,393194,EVENING,38.94877715167550,THEFT/OTHER,4500 - 4599 BLOCK OF FORT DRIVE NW,OTHERS,-77.07850869360480,1.2
144596,397769,EVENING,38.96927969531280,THEFT/OTHER,6500  - 6599 BLOCK OF PINEY BRANCH ROAD NW,OTHERS,-77.02573724707290,1.2
136168,404600,EVENING,38.89334981397950,THEFT/OTHER,300 - 499 BLOCK OF 40TH STREET NE,OTHERS,-76.94696487987640,1.2
136928.48831650,397227.99010738,EVENING,38.90020483793060,THEFT/OTHER,H STREET NW AND 14TH STREET NW,OTHERS,-77.03195635700590,1.2
